disease,tissue_general,cell_type,n_cells,fraction_in_disease_tissue,exhalepath_state
normal,brain,neuron,3490689,0.18828051884615346,neuron_stressed
normal,blood,"naive thymus-derived CD4-positive, alpha-beta T cell",2228975,0.16125511858714334,oxidative_stress_cell
normal,brain,oligodendrocyte,2211932,0.11930702065191424,microglia_activated
normal,brain,glutamatergic neuron,1904286,0.10271323400952252,neuron_stressed
normal,brain,L2/3-6 intratelencephalic projecting glutamatergic neuron,1496676,0.08072759670786643,neuron_stressed
normal,blood,"central memory CD4-positive, alpha-beta T cell",1431041,0.10352861120383323,oxidative_stress_cell
normal,eye,retinal rod cell,1303310,0.16695061589227522,
cytomegalovirus infection,blood,"naive thymus-derived CD4-positive, alpha-beta T cell",1242170,0.19360930469326088,oxidative_stress_cell
normal,blood,"CD14-positive, CD16-negative classical monocyte",1210529,0.08757567825936856,oxidative_stress_cell
normal,brain,astrocyte,1082131,0.05836789990156868,microglia_activated
Parkinson disease,brain,oligodendrocyte,940070,0.5193392507818512,microglia_activated
cytomegalovirus infection,blood,"CD14-positive, CD16-negative classical monocyte",895239,0.1395353295638199,oxidative_stress_cell
normal,brain,radial glial cell,839385,0.0452746845427016,
cytomegalovirus infection,blood,"effector memory CD8-positive, alpha-beta T cell",834385,0.13005039543418895,oxidative_stress_cell
normal,blood,"CD16-positive, CD56-dim natural killer cell, human",810899,0.05866445985585121,
normal,eye,fibroblast,732342,0.09381110245742043,oxidative_stress_cell
normal,blood,"naive thymus-derived CD8-positive, alpha-beta T cell",715606,0.0517704910964328,oxidative_stress_cell
normal,lung,unknown,702439,0.2230795076771421,
normal,blood,"effector memory CD4-positive, alpha-beta T cell",681277,0.049286960789462986,oxidative_stress_cell
normal,blood,naive B cell,654810,0.04737220659812126,oxidative_stress_cell
normal,blood,"effector memory CD8-positive, alpha-beta T cell",641394,0.04640162654631937,oxidative_stress_cell
cytomegalovirus infection,blood,"central memory CD4-positive, alpha-beta T cell",615392,0.0959173198787567,oxidative_stress_cell
normal,brain,unknown,546147,0.0294580355128372,
normal,brain,neural cell,531051,0.028643788608429064,
dementia,brain,L2/3-6 intratelencephalic projecting glutamatergic neuron,526953,0.3777782079241566,neuron_stressed
normal,brain,GABAergic neuron,505345,0.02725726032777753,neuron_stressed
cytomegalovirus infection,blood,"effector memory CD4-positive, alpha-beta T cell",503206,0.07843158647969041,oxidative_stress_cell
normal,blood,CD14-positive monocyte,499467,0.036133922684357035,oxidative_stress_cell
COVID-19,blood,B cell,489468,0.13412136269636912,oxidative_stress_cell
COVID-19,blood,"CD8-positive, alpha-beta T cell",469326,0.12860216126250568,oxidative_stress_cell
normal,brain,oligodendrocyte precursor cell,463461,0.024998124308684366,microglia_activated
normal,blood,natural killer cell,445457,0.032226571119224355,
normal,brain,neuroblast (sensu Vertebrata),420470,0.022679279007451578,neuron_stressed
cytomegalovirus infection,blood,"CD16-positive, CD56-dim natural killer cell, human",410935,0.06404988014855065,
COVID-19,blood,classical monocyte,403303,0.11051089742237236,oxidative_stress_cell
glioblastoma,brain,malignant cell,390761,0.2883640716229699,tumor_epithelial_warburg
normal,brain,Purkinje cell,381978,0.020603100427398716,
COVID-19,blood,"CD4-positive, alpha-beta T cell",365524,0.10015890104813313,oxidative_stress_cell
normal,blood,"CD4-positive, alpha-beta T cell",358673,0.025948185667854715,oxidative_stress_cell
normal,eye,GABAergic amacrine cell,351411,0.04501483367834232,neuron_stressed
normal,heart,fibroblast,351055,0.17883259459704529,oxidative_stress_cell
glioblastoma,brain,macrophage,344499,0.2542247929297998,oxidative_stress_cell
cytomegalovirus infection,blood,"naive thymus-derived CD8-positive, alpha-beta T cell",329600,0.05137270005466143,oxidative_stress_cell
normal,adrenal gland,cortical cell of adrenal gland,328920,0.7511492638545385,
normal,breast,luminal adaptive secretory precursor cell of mammary gland,321201,0.13642537741971655,
normal,blood,mucosal invariant T cell,321036,0.0232253382163291,oxidative_stress_cell
breast cancer,breast,malignant cell,318103,0.542003605371936,tumor_epithelial_warburg
normal,eye,Mueller cell,306168,0.03921932323584268,
normal,eye,epithelial cell,306152,0.03921727367752249,oxidative_stress_cell
